occrecode,age,prestg10,childs,gender,educcat,maritalcat,realrinc
Professional,42,61,2,Male,Bachelor,Married,45400
Professional,63,59,2,Female,Bachelor,Married,54480
Service,59,48,6,Female,High School,Divorced,8512.5
Office and Administrative Support,43,35,0,Male,High School,Never Married,17025
Service,62,35,4,Female,Less Than High School,Widowed,908
Construction/Extraction,55,39,2,Male,High School,Married,45400
Business/Finance,59,72,2,Male,Graduate,Divorced,54480
Professional,44,72,2,Male,Bachelor,Married,45400
Professional,40,64,2,Female,Graduate,Divorced,30645
Office and Administrative Support,34,38,1,Female,High School,Married,17025
Professional,40,64,1,Female,Junior College,Married,45400
Construction/Extraction,37,35,0,Male,High School,Never Married,20430
Office and Administrative Support,68,38,3,Female,High School,Divorced,17025
Business/Finance,56,64,0,Female,Bachelor,Divorced,54480
Professional,65,60,5,Male,Graduate,Married,45400
Professional,34,73,0,Male,Graduate,Never Married,20430
Professional,45,53,1,Male,Graduate,Married,20430
"Installation, Maintenance, and Repair",52,42,0,Male,High School,Never Married,17025
Business/Finance,42,53,3,Female,High School,Separated,12485
Service,59,48,2,Female,Graduate,Divorced,37455
Professional,46,60,2,Male,Bachelor,Married,151050.7214
Professional,55,66,1,Male,Bachelor,Divorced,63560
Transportation,23,25,0,Male,Less Than High School,Never Married,30645
Sales,41,43,0,Female,Bachelor,Never Married,24970
Transportation,34,35,3,Male,High School,Married,24970
Sales,32,58,0,Female,Graduate,Never Married,63560
Business/Finance,37,39,0,Male,Junior College,Married,30645
Professional,42,63,2,Female,Graduate,Married,14755
Business/Finance,21,45,0,Male,High School,Never Married,3405
Office and Administrative Support,33,32,2,Female,Junior College,Never Married,17025
Business/Finance,37,57,2,Female,Bachelor,Married,63560
Service,37,51,1,Female,High School,Divorced,7377.5
Service,40,38,4,Female,High School,Married,20430
Service,28,60,0,Male,Bachelor,Never Married,20430
Service,53,25,2,Female,High School,Never Married,227
Professional,55,55,0,Male,Graduate,Married,24970
